序号,类别,算法/文件名称,官方压缩包,仓库内解压目录,文件数,解压后大小(字节),官方压缩包SHA256,官方下载地址,官方页面
011,Digital Signature,FlexTree,Flextree.zip,01-public-key/01-digital-signature/Flextree,763,338499596,f31d434ac297ef6a8c454bf9d219f125290749de157df3eb90d29ae3b8a0270a,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Flextree.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101556121149460480.html
012,Digital Signature,Galas Signature Scheme,Galas Signature.zip,01-public-key/01-digital-signature/Galas Signature,1207,75208262,98d57af868fa10d74b2c0656e565aa14a42ff902646d6fc440ffb7355b75342c,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Galas%20Signature.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101555932409974784.html
013,Digital Signature,GreatWall Signature Algorithm,GreatWall.zip,01-public-key/01-digital-signature/GreatWall,1461,42957360,814cd3b977ddc0cc59828861c145580473b1a62a66da852b078edbaf689f5a8d,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/GreatWall.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101555653564256256.html
014,Digital Signature,Lynxer,Lynxer.zip,01-public-key/01-digital-signature/Lynxer,1381,42609716,34d863f7df8979c4a5e27fcfe657ed54e81905115c0afc8ef749f50af432f928,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Lynxer.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101555352421617664.html
015,Digital Signature,MORNING-ATLAS,MORNING-ATLAS.zip,01-public-key/01-digital-signature/MORNING-ATLAS,201,16046538,c796b106a7d43b2b3d6110ec2be426aa321cc7336f39a2cc027b2d6e8b4cc8c1,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/MORNING-ATLAS.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101555184259387392.html
016,Digital Signature,Octarine,Octarine.zip,01-public-key/01-digital-signature/Octarine,423,18782379,7044d22735d39f902df35dd7d8d77c850cd296c81517e8c19134a2f9d006655a,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Octarine.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101555029988691968.html
017,Digital Signature,OPS Digital Signature Algorithm,OPS Digital Signature Algorithm.zip,01-public-key/01-digital-signature/OPS Digital Signature Algorithm,312,7201782,02322c6792259231ab8eb3cc094be32be02a1b9b6b1d7c86b0029c37b0f04d09,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/OPS%20Digital%20Signature%20Algorithm.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101554635183050752.html
018,Digital Signature,Origami,Origami.zip,01-public-key/01-digital-signature/Origami,149,33985308,e34f18832e968681dd0c51ce0d4b29d80e01ad29daa83dfb805718b76fdffa80,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Origami.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101554434972143616.html
019,Digital Signature,Phoenix,Phoenix.zip,01-public-key/01-digital-signature/Phoenix,2576,42836899,ec801791976a10baffa852c479afd12362af3b5fb6420104254fb48814d99918,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Phoenix.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101554285583618048.html
020,Digital Signature,Qing Luan,QingLuan.zip,01-public-key/01-digital-signature/QingLuan,519,36955156,2eb8f3ed205eb7c7e8b3108a997b59643d1aa5579035b8093b4ddbe051a48007,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/QingLuan.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101554097515220992.html
021,Digital Signature,ReSolveD-ɑ,ReSolveD-alpha.zip,01-public-key/01-digital-signature/ReSolveD-alpha,1318,23081260,499821538d7f79464cc1ee1468254b0e49f750794a591ffe038938c4cfa11914,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/ReSolveD-alpha.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101553903805485056.html
022,Digital Signature,Rhyme,Rhyme.zip,01-public-key/01-digital-signature/Rhyme,831,24545095,7b509d21c6674bc23751b8743cb7c2a4a07ee295fafe04e2fa95c0613160bdfd,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Rhyme.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101553636984836096.html
023,Digital Signature,Shuttle,shuttle.zip,01-public-key/01-digital-signature/shuttle,564,14012279,09253fd33c2215098177991db3375cb94e4e4a73a65b019783edabefa5bd8a62,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/shuttle.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101553465160978432.html
024,Digital Signature,Sigurd,Sigurd.zip,01-public-key/01-digital-signature/Sigurd,101,28528620,443ab14257658d89a60e14ad0d4b7f4df9fcdd06da4f42fcb29bbbfc75a97153,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Sigurd.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101553271568683008.html
025,Digital Signature,SQIsign2D2,SQIsign2D2.zip,01-public-key/01-digital-signature/SQIsign2D2,1309,39282211,cf635de5eebbdeb7b2212e84f349da4ca878889e0a4a59b463d0c8cdfdb8eeab,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/SQIsign2D2.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101553124910649344.html
026,Digital Signature,SQIsign2D-push1/2,SQIsign2D-push12.zip,01-public-key/01-digital-signature/SQIsign2D-push12,1710,42581189,98b7e4ffddfe31b5fb0f448345b49228c8d8a7c87078688ba1656b28631448c5,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/SQIsign2D-push12.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101552902641897472.html
027,Digital Signature,SQIsignTriangle,SQIsignTriangle.zip,01-public-key/01-digital-signature/SQIsignTriangle,3848,44910728,f4afa484e450e2adf4b5f9c867fb199d0d0e22d66a3eafbc8c4738744fb62c58,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/SQIsignTriangle.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101552649452736512.html
028,Digital Signature,SYDO,SYDO.zip,01-public-key/01-digital-signature/SYDO,835,67644749,c4ae5b27a188612cd286a786179ce5461e6aca0b8599ba13b8d77b210a940adb,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/SYDO.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101552484230713344.html
029,Digital Signature,Tins,Tins.zip,01-public-key/01-digital-signature/Tins,142,9049314,84affc1f7cbdeec48a7cb6df3349b5708644672f2ac12140c529e74f6d57ca21,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Tins.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101552328517177344.html
030,Digital Signature,TRINE,TRINE.zip,01-public-key/01-digital-signature/TRINE,593,115599868,4b22f54b07509833b08d32402ffe06d7566e4c87622f9931079e791c80f4765d,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/TRINE.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101552163232239616.html
031,Digital Signature,TSUOV,TSUOV.zip,01-public-key/01-digital-signature/TSUOV,315,7389897,7ab1effc5fe911c6ab9483ca44a9d9f6d6d911b03eee9f2873b384d97f9aee1d,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/TSUOV.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101551978309570560.html
032,Digital Signature,UVW signature,UVW signature.zip,01-public-key/01-digital-signature/UVW signature,138,2498522423,bbfa8dad5ee57083578b50b9937e773e6158f72646e825da3d3265cc00cb1294,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/UVW%20signature.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101551799695134720.html
033,Digital Signature,VDOO: Vinegar-Diagonal-Oil-Oil,VDOO.zip,01-public-key/01-digital-signature/VDOO,283,1008341776,4b7bb0f15388b395b9308ae480f25622105a734f0ab4a6bd16398438c4b9752a,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/VDOO.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101551382802288640.html
034,Digital Signature,YuanYang.DSA,YuanYang.DSA.zip,01-public-key/01-digital-signature/YuanYang.DSA,366,27868953,1eb45f24ad8f7ff25db923479c6500f273aee8b2470d76339030fed8d96b5b31,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/YuanYang.DSA.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101548349997535232.html
035,Key Encapsulation,Aigis-Enc+,Aigis-Enc+.zip,01-public-key/02-key-encapsulation/Aigis-Enc+,654,31794081,1c053133175cd189fd9f0e058bde684168f55a6fc3871de2a755404a08990186,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/Aigis-Enc%2B.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101517514145615872.html
036,Key Encapsulation,Amoeba,Amoeba.zip,01-public-key/02-key-encapsulation/Amoeba,425,6698976,719c438a30cccd72c9d83da4b5150fee0c55351f2c13e7a66fd61bf653ca5c24,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/Amoeba.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101517132006772736.html
037,Key Encapsulation,BAG-Loong,BAG-Loong.zip,01-public-key/02-key-encapsulation/BAG-Loong,157,19168418,2795fd57d3d00791652256362b4a21982116d3aad1fb63633dac923e0e76e05b,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/BAG-Loong.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101516939177840640.html
038,Key Encapsulation,BAG-Piglet,BAG-Piglet.zip,01-public-key/02-key-encapsulation/BAG-Piglet,426,13776989,31afe1f2f4e97ad77929d7855c7d9011d69755049d155c09be9339bc99b1d405,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/BAG-Piglet.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101516713507508224.html
039,Key Encapsulation,BIKE-MLThre,BIKE_MLThre.zip,01-public-key/02-key-encapsulation/BIKE_MLThre,203,85262911,3a5d97532003786374b68b39779cff4e4938f593fef9596f171652c6ff593917,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/BIKE_MLThre.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101513734456954880.html
040,Key Encapsulation,BRA,BRA.zip,01-public-key/02-key-encapsulation/BRA,468,12900191,612a3fe69c7a28fae7ca87a226d29e67a9cffb6ce9e4cbe54ac9de37f7650d7a,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/BRA.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101513510208491520.html
041,Key Encapsulation,BRQC,BRQC.zip,01-public-key/02-key-encapsulation/BRQC,468,13536766,2c76bdd4e4df7829bf22fa4949a3c744b9af692425f6f2e5fae5317d41e366ae,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/BRQC.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101513287428034560.html
042,Key Encapsulation,BW-KEM,BW-KEM.zip,01-public-key/02-key-encapsulation/BW-KEM,4278,35471045,a1f8a079df7d55576209f45fcf00afd700fc60c0b18d758d572585ccea594ae3,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/BW-KEM.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101513068019798016.html
043,Key Encapsulation,CheetahKEM,CheetahKEM.zip,01-public-key/02-key-encapsulation/CheetahKEM,199,10667324,fc321e46bac9c387535e2053bed560eac3d3cd88ba9bebc154f5bf68dd47dcd1,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/CheetahKEM.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101512860473053184.html
044,Key Encapsulation,C-Multi-UR-AG,C-Multi-UR-AG.zip,01-public-key/02-key-encapsulation/C-Multi-UR-AG,468,17029151,c41e372a55e1dd4aa0e30c6b53d9d7b4f9cd1d7ae431763535e1e61097445e2c,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/C-Multi-UR-AG.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101512642461519872.html
045,Key Encapsulation,COMPASS-KEM,COMPASS-KEM.zip,01-public-key/02-key-encapsulation/COMPASS-KEM,312,64309153,8fc838488ac0849d4c6afd161f8b9742c7a8b9a330bc3b79df70ced7e2d1d5e2,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/COMPASS-KEM.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101512022090403840.html
046,Key Encapsulation,CTL Algorithm,CTL.zip,01-public-key/02-key-encapsulation/CTL,761,59984017,512caaf5fa04ea5ab51fb5eeee9e81f8c7c7c430b60727130067634bfb674d01,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/CTL.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101511814187143168.html
047,Key Encapsulation,DKEM (Ding Key Encapsulation),DKEM.zip,01-public-key/02-key-encapsulation/DKEM,1503,16315474,862f40ba424253bae7fadbc9c2f54a568b77e0f97fba4728c5fd1e4e826dddc7,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/DKEM.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101511580744765440.html
048,Key Encapsulation,DTRU,DTRU.zip,01-public-key/02-key-encapsulation/DTRU,6033,57033711,ed443d6a9e2e6c50e4956e9b30ce078ae0598a8846962d04b9894cac0816527b,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/DTRU.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101511361315557376.html
049,Key Encapsulation,FLIT,FLIT.zip,01-public-key/02-key-encapsulation/FLIT,453,9012944,6c560f434b347fbac8334f55b9ba2838cb1cf885d5aa25e95acb66ed6c6de0fe,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/FLIT.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101511175910543360.html
050,Key Encapsulation,HARE,HARE.zip,01-public-key/02-key-encapsulation/HARE,181,18131686,718bb70eee268550fcef2a82e8eb9879c51ecfdbaefd6bfe2157e7639ffc8557,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/HARE.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101510831696596992.html
051,Key Encapsulation,Hybrid Equivalent Punctured and Quasi-Cyclic,HEP-QC.zip,01-public-key/02-key-encapsulation/HEP-QC,96,1410615217,3780991127f49b6397b4182d32b35ab7a6359bf825a707e90df0f809beeb3790,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/HEP-QC.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101510686716284928.html
052,Key Encapsulation,LoongKEM,LoongKEM.zip,01-public-key/02-key-encapsulation/LoongKEM,151,11112165,a6e5070647a40e7de1bf6e5b085dc1d6423c003a409864fdb303d87f881cec0b,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/LoongKEM.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101510548270698496.html
053,Key Encapsulation,Lore,Lore.zip,01-public-key/02-key-encapsulation/Lore,1030,15579361,e33130fb45a3b1e220f8043739d1396a884c0043cb4336104e67e5404c7cc725,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/Lore.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101510396353007616.html
054,Key Encapsulation,MAMBA-Frost,MAMBA-Frost.zip,01-public-key/02-key-encapsulation/MAMBA-Frost,1659,46064638,ae363dbefd69d64e99987b64105d60bfa376d97c8b58b055665761559c44c78b,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/MAMBA-Frost.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101510166681309184.html
055,Key Encapsulation,MAMBA-Viper,MAMBA-Viper.zip,01-public-key/02-key-encapsulation/MAMBA-Viper,1197,29864303,cdf52bb77066664f74eb44872d5ab1785c22df194e50c603120432a169c61f4c,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/MAMBA-Viper.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101504976255275008.html
056,Key Encapsulation,Mithril,Mithril.zip,01-public-key/02-key-encapsulation/Mithril,424,16728862,9fed68e7923c6bc9ede072183f7d3983058f88deec5534e779ed2200ee4f7f9f,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/Mithril.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101503645129986048.html
057,Key Encapsulation,Mito,Mito.zip,01-public-key/02-key-encapsulation/Mito,1180,36095947,ee11788a3e8bf8653d18ade6580c47a331b91e7eac3e31a5a6750a4b4cfb827b,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/Mito.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101503493858217984.html
058,Key Encapsulation,MORNING-Scabbard,MORNING-Scabbard.zip,01-public-key/02-key-encapsulation/MORNING-Scabbard,383,28150632,fdb6749116bddbb8a86074b9ab6f5f55d37540b92e3964906dede0b09c7faf4b,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/MORNING-Scabbard.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101503284793135104.html
059,Key Encapsulation,NEV,NEV.zip,01-public-key/02-key-encapsulation/NEV,1913,25169763,8105c6241a322661411e870a3087338f48f4f5c477a540387b800c08955cc7fd,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/NEV.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101503060444008448.html
060,Key Encapsulation,NSS-HQC,NSS-HQC.zip,01-public-key/02-key-encapsulation/NSS-HQC,144,10448838,033994e27bf0dc824078593a98eb51465f979b1bca0932cabb29be6626447638,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/NSS-HQC.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101502496087822336.html
061,Key Encapsulation,NTRE Key Encapsulation Mechanism,NTRE.zip,01-public-key/02-key-encapsulation/NTRE,350,14111520,9c0bad4c4846998df1214ba562e1c3b8aece6b69f08234a9bb0d89e3a5a4ea9a,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/NTRE.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101502307428028416.html
062,Key Encapsulation,OAEP-NTRU,OAEP-NTRU.zip,01-public-key/02-key-encapsulation/OAEP-NTRU,185,8525051,aaab8e0692fd19dd2edda5384b5e85bba74661d478823b48cab3cccb53675756,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/OAEP-NTRU.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101502137470636032.html
063,Key Encapsulation,Polar-KEM,Polar-KEM.zip,01-public-key/02-key-encapsulation/Polar-KEM,138,2063813,3ae9d4f1a717fb473e76447014d585cd5d14fe38728f02b1a044cc6a2d03e16d,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/Polar-KEM.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101501931157016576.html
